behav,freq,pred
wd,0,spider
wd,0,spider
wd,0,spider
wd,0.191448933,spider
wd,0.181538722,spider
wd,0,spider
wd,0.139315704,spider
wd,0,spider
wd,0.193600847,spider
wd,0,spider
wd,0.384872583,spider
wd,0,spider
wd,0,spider
wd,0,spider
wd,0,spider
wd,0,spider
wd,0,spider
wd,0,spider
wd,0.208645214,spider
wd,0,spider
wd,0.565078169,spider
wd,0,spider
wd,0,spider
wd,0.212308215,spider
wd,0.20376801,spider
wd,0.201791912,spider
wd,0,spider
wd,0.573632047,spider
wd,0.187284623,spider
wd,0.187957854,spider
ab,0,spider
ab,0.882253471,spider
ab,0.882250769,spider
ab,0.5743468,spider
ab,3.630774444,spider
ab,1.106992348,spider
ab,1.950419863,spider
ab,1.509874234,spider
ab,3.872016934,spider
ab,0,spider
ab,0.577308875,spider
ab,0,spider
ab,0,spider
ab,4.331688753,spider
ab,0,spider
ab,0,spider
ab,1.101651866,spider
ab,0.2120947,spider
ab,1.460516501,spider
ab,6.786863445,spider
ab,1.695234507,spider
ab,1.404771541,spider
ab,3.481353427,spider
ab,2.760006794,spider
ab,1.222608061,spider
ab,1.412543385,spider
ab,0.202169617,spider
ab,0,spider
ab,7.304100285,spider
ab,0,spider
fly,0,spider
fly,1.176337962,spider
fly,0,spider
fly,0.5743468,spider
fly,0,spider
fly,0,spider
fly,0.278631409,spider
fly,0.137261294,spider
fly,0,spider
fly,0.397114303,spider
fly,0,spider
fly,0,spider
fly,0,spider
fly,0.309406339,spider
fly,0,spider
fly,0,spider
fly,0,spider
fly,0.2120947,spider
fly,0.208645214,spider
fly,1.100572451,spider
fly,0.18835939,spider
fly,0.200681649,spider
fly,1.43349847,spider
fly,0.42461643,spider
fly,0,spider
fly,0.201791912,spider
fly,0,spider
fly,0,spider
fly,0.187284623,spider
fly,0.187957854,spider
jump,0,spider
jump,0.441126736,spider
jump,0,spider
jump,0,spider
jump,0.181538722,spider
jump,0,spider
jump,0.139315704,spider
jump,0.137261294,spider
jump,0.193600847,spider
jump,0,spider
jump,0,spider
jump,0,spider
jump,0,spider
jump,0,spider
jump,0,spider
jump,0.163936218,spider
jump,0,spider
jump,0,spider
jump,0.208645214,spider
jump,0.550286225,spider
jump,0,spider
jump,0,spider
jump,0.204785496,spider
jump,0.212308215,spider
jump,0,spider
jump,0,spider
jump,0,spider
jump,0,spider
jump,0.561853868,spider
jump,0.187957854,spider
pause,0,spider
pause,0.147042245,spider
pause,0,spider
pause,0.191448933,spider
pause,0.363077444,spider
pause,0,spider
pause,0,spider
pause,0.274522588,spider
pause,0,spider
pause,0,spider
pause,0,spider
pause,0,spider
pause,0,spider
pause,0,spider
pause,0,spider
pause,0,spider
pause,0,spider
pause,0.2120947,spider
pause,0,spider
pause,0.733714967,spider
pause,0,spider
pause,0.200681649,spider
pause,0,spider
pause,0.42461643,spider
pause,0.20376801,spider
pause,0.201791912,spider
pause,0,spider
pause,0.764842729,spider
pause,0,spider
pause,0.187957854,spider
turn,0,spider
turn,1.323380207,spider
turn,0.441125384,spider
turn,0.191448933,spider
turn,0.181538722,spider
turn,0.368997449,spider
turn,0.139315704,spider
turn,0.411783882,spider
turn,0,spider
turn,0,spider
turn,0.192436292,spider
turn,0,spider
turn,0,spider
turn,0.618812679,spider
turn,1.596801075,spider
turn,0,spider
turn,0.183608644,spider
turn,0.2120947,spider
turn,0.625935643,spider
turn,0.550286225,spider
turn,0,spider
turn,0.200681649,spider
turn,0.614356487,spider
turn,0.212308215,spider
turn,0.61130403,spider
turn,0,spider
turn,0.202169617,spider
turn,0.956053412,spider
turn,2.247415472,spider
turn,4.510988486,spider
wd,0.201770876,mantid
wd,0,mantid
wd,0.254222746,mantid
wd,0.234064134,mantid
wd,0.200693731,mantid
wd,0,mantid
wd,1.140758509,mantid
wd,0,mantid
wd,0,mantid
wd,0,mantid
wd,0,mantid
wd,0.191998157,mantid
wd,0.197861448,mantid
wd,0,mantid
wd,0.187932538,mantid
wd,0.401717342,mantid
wd,0,mantid
wd,0,mantid
wd,0.397520795,mantid
wd,0,mantid
wd,0,mantid
wd,0.222313618,mantid
wd,0,mantid
wd,0,mantid
wd,0.583758856,mantid
wd,0,mantid
wd,0,mantid
wd,0.194086822,mantid
wd,0,mantid
wd,0,mantid
ab,0.201770876,mantid
ab,0,mantid
ab,0,mantid
ab,0.468128267,mantid
ab,0,mantid
ab,1.391025567,mantid
ab,0.380252836,mantid
ab,0,mantid
ab,3.247650769,mantid
ab,0.315612565,mantid
ab,0,mantid
ab,2.303977882,mantid
ab,0,mantid
ab,0.194286362,mantid
ab,2.255190462,mantid
ab,0,mantid
ab,0.198696551,mantid
ab,0,mantid
ab,0.795041591,mantid
ab,1.175047859,mantid
ab,0,mantid
ab,2.890077032,mantid
ab,0,mantid
ab,0.195499281,mantid
ab,0.194586285,mantid
ab,0,mantid
ab,0,mantid
ab,0,mantid
ab,0,mantid
ab,0.696096061,mantid
fly,0.605312627,mantid
fly,0,mantid
fly,0.254222746,mantid
fly,0,mantid
fly,0,mantid
fly,0,mantid
fly,0.950632091,mantid
fly,0,mantid
fly,0.231975055,mantid
fly,0,mantid
fly,0,mantid
fly,1.535985255,mantid
fly,0.197861448,mantid
fly,0.194286362,mantid
fly,1.315527769,mantid
fly,0.200858671,mantid
fly,0.198696551,mantid
fly,0,mantid
fly,0,mantid
fly,0,mantid
fly,0,mantid
fly,0.222313618,mantid
fly,0,mantid
fly,0,mantid
fly,0.38917257,mantid
fly,0,mantid
fly,0,mantid
fly,0,mantid
fly,0,mantid
fly,0,mantid
jump,0.201770876,mantid
jump,0,mantid
jump,0,mantid
jump,0.234064134,mantid
jump,0,mantid
jump,0.198717938,mantid
jump,0.380252836,mantid
jump,0,mantid
jump,0,mantid
jump,0,mantid
jump,0,mantid
jump,0.191998157,mantid
jump,0,mantid
jump,0,mantid
jump,0.375865077,mantid
jump,0,mantid
jump,0,mantid
jump,0,mantid
jump,0.198760398,mantid
jump,0,mantid
jump,0,mantid
jump,0,mantid
jump,0,mantid
jump,0.195499281,mantid
jump,0.194586285,mantid
jump,0,mantid
jump,0,mantid
jump,0.194086822,mantid
jump,0,mantid
jump,0.696096061,mantid
pause,0.605312627,mantid
pause,0.225110726,mantid
pause,1.016890983,mantid
pause,0,mantid
pause,0,mantid
pause,0.198717938,mantid
pause,2.471643437,mantid
pause,0,mantid
