,file,sex,age,pop,humidity,rec.time,temp,time.stamp,code,event,state,strike,pred.state,chasing,file.num,state.event,predator,date
1,1_4_14,male,4,FVW,30,954,21,3954,f,fly,walk,0,0,0,1,fly,mantid,1_4_14
2,1_4_14,male,4,FVW,30,954,21,5126,w,0,walk,0,0,0,1,walk,mantid,1_4_14
3,1_4_14,male,4,FVW,30,954,21,7712,d,wingdisp,walk,0,0,0,1,wingdisp,mantid,1_4_14
4,1_4_14,male,4,FVW,30,954,21,15981,i,turn,walk,0,0,0,1,turn,mantid,1_4_14
5,1_4_14,male,4,FVW,30,954,21,17910,i,turn,walk,0,0,0,1,turn,mantid,1_4_14
6,1_4_14,male,4,FVW,30,954,21,25677,i,turn,walk,0,0,0,1,turn,mantid,1_4_14
7,1_4_14,male,4,FVW,30,954,21,34446,f,fly,walk,0,0,0,1,fly,mantid,1_4_14
8,1_4_14,male,4,FVW,30,954,21,35637,w,0,walk,0,0,0,1,walk,mantid,1_4_14
9,1_4_14,male,4,FVW,30,954,21,52749,i,turn,walk,0,0,0,1,turn,mantid,1_4_14
10,1_4_14,male,4,FVW,30,954,21,63429,h,0,timeout,0,0,0,1,timeout,mantid,1_4_14
11,1_4_14,male,4,FVW,30,954,21,76844,w,0,walk,0,0,0,1,walk,mantid,1_4_14
12,1_4_14,male,4,FVW,30,954,21,80149,y,ablift,walk,0,0,0,1,ablift,mantid,1_4_14
13,1_4_14,male,4,FVW,30,954,21,83508,y,ablift,walk,0,0,0,1,ablift,mantid,1_4_14
14,1_4_14,male,4,FVW,30,954,21,84069,y,ablift,walk,0,0,0,1,ablift,mantid,1_4_14
15,1_4_14,male,4,FVW,30,954,21,104107,g,0,groom,0,0,0,1,groom,mantid,1_4_14
16,1_4_14,male,4,FVW,30,954,21,115659,w,0,walk,0,0,0,1,walk,mantid,1_4_14
17,1_4_14,male,4,FVW,30,954,21,132046,g,0,groom,0,0,0,1,groom,mantid,1_4_14
18,1_4_14,male,4,FVW,30,954,21,136906,w,0,walk,0,0,0,1,walk,mantid,1_4_14
19,1_4_14,male,4,FVW,30,954,21,139898,g,0,groom,0,0,0,1,groom,mantid,1_4_14
20,1_4_14,male,4,FVW,30,954,21,144810,w,0,walk,0,0,0,1,walk,mantid,1_4_14
21,1_4_14,male,4,FVW,30,954,21,150250,i,turn,walk,0,0,0,1,turn,mantid,1_4_14
22,1_4_14,male,4,FVW,30,954,21,157546,s,0,stop,0,0,0,1,stop,mantid,1_4_14
23,1_4_14,male,4,FVW,30,954,21,157722,w,0,walk,0,0,0,1,walk,mantid,1_4_14
24,1_4_14,male,4,FVW,30,954,21,160329,f,fly,walk,0,0,0,1,fly,mantid,1_4_14
25,1_4_14,male,4,FVW,30,954,21,161291,s,0,stop,0,0,0,1,stop,mantid,1_4_14
26,1_4_14,male,4,FVW,30,954,21,162139,w,0,walk,0,0,0,1,walk,mantid,1_4_14
27,1_4_14,male,4,FVW,30,954,21,165427,s,0,stop,0,0,0,1,stop,mantid,1_4_14
28,1_4_14,male,4,FVW,30,954,21,166077,f,fly,stop,0,0,0,1,fly,mantid,1_4_14
29,1_4_14,male,4,FVW,30,954,21,167259,s,0,stop,0,0,0,1,stop,mantid,1_4_14
30,1_4_14,male,4,FVW,30,954,21,168328,f,fly,stop,0,0,0,1,fly,mantid,1_4_14
31,1_4_14,male,4,FVW,30,954,21,169851,w,0,walk,0,0,0,1,walk,mantid,1_4_14
32,1_4_14,male,4,FVW,30,954,21,176876,g,0,groom,0,0,0,1,groom,mantid,1_4_14
33,1_4_14,male,4,FVW,30,954,21,258792,f,fly,groom,0,0,0,1,fly,mantid,1_4_14
34,1_4_14,male,4,FVW,30,954,21,259800,h,0,timeout,0,0,0,1,timeout,mantid,1_4_14
35,1_4_14,male,4,FVW,30,954,21,268071,g,0,groom,0,0,0,1,groom,mantid,1_4_14
36,1_4_14,male,4,FVW,30,954,21,472513,f,fly,groom,0,0,0,1,fly,mantid,1_4_14
37,1_4_14,male,4,FVW,30,954,21,474676,s,0,stop,0,0,0,1,stop,mantid,1_4_14
38,1_4_14,male,4,FVW,30,954,21,475554,f,fly,stop,0,0,0,1,fly,mantid,1_4_14
39,1_4_14,male,4,FVW,30,954,21,478719,s,0,stop,0,0,0,1,stop,mantid,1_4_14
40,1_4_14,male,4,FVW,30,954,21,479771,f,fly,stop,0,0,0,1,fly,mantid,1_4_14
41,1_4_14,male,4,FVW,30,954,21,480589,s,0,stop,0,0,0,1,stop,mantid,1_4_14
42,1_4_14,male,4,FVW,30,954,21,481594,w,0,walk,0,0,0,1,walk,mantid,1_4_14
