,file,sex,age,pop,humidity,rec.time,temp,time.stamp,code,event,state,strike,pred.state,chasing,file.num,date,predator
1,1_3_14,Male,3,FVW,28,1104,21,2548,w,0,walk,0,0,0,1,1_3_14,nopred
2,1_3_14,Male,3,FVW,28,1104,21,30587,g,0,groom,0,0,0,1,1_3_14,nopred
3,1_3_14,Male,3,FVW,28,1104,21,58106,w,0,walk,0,0,0,1,1_3_14,nopred
4,1_3_14,Male,3,FVW,28,1104,21,69050,g,0,groom,0,0,0,1,1_3_14,nopred
5,1_3_14,Male,3,FVW,28,1104,21,137592,w,0,walk,0,0,0,1,1_3_14,nopred
6,1_3_14,Male,3,FVW,28,1104,21,140504,y,ab_lift,walk,0,0,0,1,1_3_14,nopred
7,1_3_14,Male,3,FVW,28,1104,21,153911,g,0,groom,0,0,0,1,1_3_14,nopred
8,1_3_14,Male,3,FVW,28,1104,21,169271,w,0,walk,0,0,0,1,1_3_14,nopred
9,1_3_14,Male,3,FVW,28,1104,21,170672,g,0,groom,0,0,0,1,1_3_14,nopred
10,1_3_14,Male,3,FVW,28,1104,21,587310,w,0,walk,0,0,0,1,1_3_14,nopred
11,1_3_14,Male,3,FVW,28,1104,21,655176,g,0,groom,0,0,0,1,1_3_14,nopred
12,1_3_14,Male,3,FVW,28,1104,21,670344,w,0,walk,0,0,0,1,1_3_14,nopred
13,1_3_14,Male,3,FVW,28,1104,21,671086,y,ab_lift,walk,0,0,0,1,1_3_14,nopred
14,1_3_14,Male,3,FVW,28,1104,21,688520,g,0,groom,0,0,0,1,1_3_14,nopred
15,1_3_14,Male,3,FVW,28,1104,21,794623,1,0,groom,0,far,0,1,1_3_14,nopred
16,1_3_14,Male,3,FVW,28,1104,21,796335,w,0,walk,0,far,0,1,1_3_14,nopred
17,1_3_14,Male,3,FVW,28,1104,21,798039,j,jump,walk,0,far,0,1,1_3_14,nopred
18,1_3_14,Male,3,FVW,28,1104,21,800753,w,0,walk,0,far,0,1,1_3_14,nopred
19,1_3_14,Male,3,FVW,28,1104,21,804718,j,jump,walk,0,far,0,1,1_3_14,nopred
20,1_3_14,Male,3,FVW,28,1104,21,805631,w,0,walk,0,far,0,1,1_3_14,nopred
21,1_3_14,Male,3,FVW,28,1104,21,813806,i,turn,walk,0,far,0,1,1_3_14,nopred
22,1_3_14,Male,3,FVW,28,1104,21,838509,g,0,groom,0,far,0,1,1_3_14,nopred
23,1_3_14,Male,3,FVW,28,1104,21,843534,w,0,walk,0,far,0,1,1_3_14,nopred
24,1_3_14,Male,3,FVW,28,1104,21,849616,g,0,groom,0,far,0,1,1_3_14,nopred
25,1_3_14,Male,3,FVW,28,1104,21,855055,w,0,walk,0,far,0,1,1_3_14,nopred
26,1_3_14,Male,3,FVW,28,1104,21,877292,h,0,timeout,0,far,0,1,1_3_14,nopred
27,1_3_14,Male,3,FVW,28,1104,21,879484,w,0,walk,0,far,0,1,1_3_14,nopred
28,1_3_14,Male,3,FVW,28,1104,21,895884,y,ab_lift,walk,0,far,0,1,1_3_14,nopred
29,1_3_14,Male,3,FVW,28,1104,21,896340,y,ab_lift,walk,0,far,0,1,1_3_14,nopred
30,1_3_14,Male,3,FVW,28,1104,21,904972,g,0,groom,0,far,0,1,1_3_14,nopred
31,1_3_14,Male,3,FVW,28,1104,21,909227,w,0,walk,0,far,0,1,1_3_14,nopred
32,1_3_14,Male,3,FVW,28,1104,21,935818,r,0,run,0,far,0,1,1_3_14,nopred
33,1_3_14,Male,3,FVW,28,1104,21,937891,w,0,walk,0,far,0,1,1_3_14,nopred
34,1_3_14,Male,3,FVW,28,1104,21,958026,y,ab_lift,walk,0,far,0,1,1_3_14,nopred
35,1_3_14,Male,3,FVW,28,1104,21,959666,y,ab_lift,walk,0,far,0,1,1_3_14,nopred
36,1_3_14,Male,3,FVW,28,1104,21,965580,g,0,groom,0,far,0,1,1_3_14,nopred
37,1_3_14,Male,3,FVW,28,1104,21,976777,w,0,walk,0,far,0,1,1_3_14,nopred
38,1_3_14,Male,3,FVW,28,1104,21,985545,s,0,stop,0,far,0,1,1_3_14,nopred
39,1_3_14,Male,3,FVW,28,1104,21,986841,w,0,walk,0,far,0,1,1_3_14,nopred
40,1_3_14,Male,3,FVW,28,1104,21,1013480,g,0,groom,0,far,0,1,1_3_14,nopred
41,1_3_14,Male,3,FVW,28,1104,21,1015008,w,0,walk,0,far,0,1,1_3_14,nopred
42,1_3_14,Male,3,FVW,28,1104,21,1021192,g,0,groom,0,far,0,1,1_3_14,nopred
43,1_3_14,Male,3,FVW,28,1104,21,1024079,f,fly,groom,0,far,0,1,1_3_14,nopred
44,1_3_14,Male,3,FVW,28,1104,21,1026219,s,0,stop,0,far,0,1,1_3_14,nopred
45,1_3_14,Male,3,FVW,28,1104,21,1027674,w,0,walk,0,far,0,1,1_3_14,nopred
46,1_3_14,Male,3,FVW,28,1104,21,1052882,i,turn,walk,0,far,0,1,1_3_14,nopred
47,1_3_14,Male,3,FVW,28,1104,21,1072240,i,turn,walk,0,far,0,1,1_3_14,nopred
48,1_3_14,Male,3,FVW,28,1104,21,1095824,i,turn,walk,0,far,0,1,1_3_14,nopred
49,1_3_14,Male,3,FVW,28,1104,21,1108880,y,ab_lift,walk,0,far,0,1,1_3_14,nopred
50,1_3_14,Male,3,FVW,28,1104,21,1113647,r,0,run,0,far,0,1,1_3_14,nopred
51,1_3_14,Male,3,FVW,28,1104,21,1116664,y,ab_lift,run,0,far,0,1,1_3_14,nopred
52,1_3_14,Male,3,FVW,28,1104,21,1118407,w,0,walk,0,far,0,1,1_3_14,nopred
53,1_3_14,Male,3,FVW,28,1104,21,1124431,g,0,groom,0,far,0,1,1_3_14,nopred
54,1_3_14,Male,3,FVW,28,1104,21,1311082,w,0,walk,0,far,0,1,1_3_14,nopred
55,1_3_14,Male,3,FVW,28,1104,21,1329929,g,0,groom,0,far,0,1,1_3_14,nopred
56,1_3_14,Male,3,FVW,28,1104,21,1339944,w,0,walk,0,far,0,1,1_3_14,nopred
57,1_3_14,Male,3,FVW,28,1104,21,1345736,g,0,groom,0,far,0,1,1_3_14,nopred
58,1_3_14,Male,3,FVW,28,1104,21,1626208,w,0,walk,0,far,0,1,1_3_14,nopred
59,1_3_14,Male,3,FVW,28,1104,21,1627537,y,ab_lift,walk,0,far,0,1,1_3_14,nopred
60,1_3_14,Male,3,FVW,28,1104,21,1628017,y,ab_lift,walk,0,far,0,1,1_3_14,nopred
61,1_3_14,Male,3,FVW,28,1104,21,1634208,y,ab_lift,walk,0,far,0,1,1_3_14,nopred
62,1_3_14,Male,3,FVW,28,1104,21,1649408,g,0,groom,0,far,0,1,1_3_14,nopred
63,1_3_14,Male,3,FVW,28,1104,21,2051864,EOF,end_trial,groom,0,far,0,1,1_3_14,nopred
64,1_3_14,Female,3,FVW,20,1135,21,2049,g,0,groom,0,0,0,2,1_3_14,nopred
65,1_3_14,Female,3,FVW,20,1135,21,50557,f,fly,groom,0,0,0,2,1_3_14,nopred
66,1_3_14,Female,3,FVW,20,1135,21,52349,w,0,walk,0,0,0,2,1_3_14,nopred
67,1_3_14,Female,3,FVW,20,1135,21,70384,g,0,groom,0,0,0,2,1_3_14,nopred
68,1_3_14,Female,3,FVW,20,1135,21,89623,w,0,walk,0,0,0,2,1_3_14,nopred
69,1_3_14,Female,3,FVW,20,1135,21,96533,g,0,groom,0,0,0,2,1_3_14,nopred
70,1_3_14,Female,3,FVW,20,1135,21,239613,w,0,walk,0,0,0,2,1_3_14,nopred
71,1_3_14,Female,3,FVW,20,1135,21,244229,g,0,groom,0,0,0,2,1_3_14,nopred
72,1_3_14,Female,3,FVW,20,1135,21,249501,w,0,walk,0,0,0,2,1_3_14,nopred
73,1_3_14,Female,3,FVW,20,1135,21,256164,s,0,stop,0,0,0,2,1_3_14,nopred
74,1_3_14,Female,3,FVW,20,1135,21,257052,f,fly,stop,0,0,0,2,1_3_14,nopred
75,1_3_14,Female,3,FVW,20,1135,21,258684,s,0,stop,0,0,0,2,1_3_14,nopred
