behav,prop,pred
groom,0.491545973,spider
groom,0.399257966,spider
groom,0.835913882,spider
groom,0.835341548,spider
groom,0.397347179,spider
groom,0.759979396,spider
groom,0.352019563,spider
groom,0.117394759,spider
groom,0.705856577,spider
groom,0.745209604,spider
groom,0.167910581,spider
groom,1,spider
groom,0.44618257,spider
groom,0.597972272,spider
groom,0.762234242,spider
groom,0.950619035,spider
groom,0.866385027,spider
groom,0.65368666,spider
groom,0.444925258,spider
groom,0.408191729,spider
groom,0.551596147,spider
groom,0.780829176,spider
groom,0.433741441,spider
groom,0.311123592,spider
groom,0.33621504,spider
groom,0.152337863,spider
groom,0.727968463,spider
groom,0.161960932,spider
groom,0.323341448,spider
groom,0,spider
walk,0.403991087,spider
walk,0.470405822,spider
walk,0.122999234,spider
walk,0.066885025,spider
walk,0.398827623,spider
walk,0.195510255,spider
walk,0.47856756,spider
walk,0.752589384,spider
walk,0.056164165,spider
walk,0.057285896,spider
walk,0.578152966,spider
walk,0,spider
walk,0.397227907,spider
walk,0.246989239,spider
walk,0.184876996,spider
walk,0.043872924,spider
walk,0.062744422,spider
walk,0.308768587,spider
walk,0.397876826,spider
walk,0.191271286,spider
walk,0.291957986,spider
walk,0.14706168,spider
walk,0.301162061,spider
walk,0.457464924,spider
walk,0.579286092,spider
walk,0.096812875,spider
walk,0.258389685,spider
walk,0.588045655,spider
walk,0.307300472,spider
walk,0.626985738,spider
run,0.10446294,spider
run,0.009575707,spider
run,0,spider
run,0.00597179,spider
run,0.010005283,spider
run,0.001107322,spider
run,0.045435539,spider
run,0.058254002,spider
run,0.052132057,spider
run,0,spider
run,0.227306123,spider
run,0,spider
run,0.096590789,spider
run,0,spider
run,0,spider
run,0,spider
run,0.041156796,spider
run,0.016297015,spider
run,0.010598341,spider
run,0.076392468,spider
run,0.059127596,spider
run,0,spider
run,0.028135739,spider
run,0.097993336,spider
run,0.02907239,spider
run,0,spider
run,0,spider
run,0.142556772,spider
run,0.122101108,spider
run,0.042037162,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
stop,0,spider
retreat,0,spider
retreat,0,spider
retreat,0,spider
retreat,0,spider
retreat,0,spider
retreat,0,spider
retreat,0,spider
retreat,0,spider
retreat,0,spider
retreat,0,spider
retreat,0,spider
retreat,0,spider
retreat,0,spider
retreat,0,spider
retreat,0,spider
retreat,0,spider
retreat,0,spider
retreat,0,spider
retreat,0,spider
retreat,0,spider
retreat,0,spider
retreat,0,spider
retreat,0,spider
