behav,freq,pred.state
wd,0.044443358,predator present
wd,0,predator present
wd,0.048025703,predator present
wd,0,predator present
wd,0.135205174,predator present
wd,0.181407952,predator present
wd,0.227041558,predator present
wd,0,predator present
wd,1.335939901,predator present
wd,0,predator present
wd,0.09678637,predator present
wd,0.16250496,predator present
wd,0.11896583,predator present
wd,0,predator present
wd,0.201356336,predator present
wd,0.119131117,predator present
wd,0,predator present
wd,0,predator present
wd,0,predator present
wd,0.043046857,predator present
wd,0.208635057,predator present
wd,0,predator present
wd,0,predator present
wd,0.04651051,predator present
wd,0.048421929,predator present
wd,0.096874662,predator present
wd,0,predator present
wd,0.186628822,predator present
wd,0,predator present
wd,0.326204725,predator present
ab,0.088886716,predator present
ab,0.527586935,predator present
ab,0.960514067,predator present
ab,0.577375076,predator present
ab,0,predator present
ab,0.453519881,predator present
ab,0.998982854,predator present
ab,0,predator present
ab,0.26718798,predator present
ab,4.700959489,predator present
ab,0.048393185,predator present
ab,0.16250496,predator present
ab,0,predator present
ab,0.059664299,predator present
ab,0.201356336,predator present
ab,0,predator present
ab,0.179771331,predator present
ab,1.621853315,predator present
ab,0.667188556,predator present
ab,0.172187426,predator present
ab,0.938857758,predator present
ab,1.069455172,predator present
ab,1.569493961,predator present
ab,2.930162143,predator present
ab,0.145265788,predator present
ab,0.048437331,predator present
ab,0,predator present
ab,0.139971617,predator present
ab,0,predator present
ab,0.978614174,predator present
fly,0,predator present
fly,0,predator present
fly,0.28815422,predator present
fly,0.096229179,predator present
fly,0,predator present
fly,0,predator present
fly,1.407657658,predator present
fly,0,predator present
fly,0.26718798,predator present
fly,2.176370134,predator present
fly,0,predator present
fly,0.2031312,predator present
fly,0,predator present
fly,0.178992896,predator present
fly,0.161085069,predator present
fly,0,predator present
fly,0.179771331,predator present
fly,0.231693331,predator present
fly,0,predator present
fly,0.12914057,predator present
fly,0.417270115,predator present
fly,0.044560632,predator present
fly,0.276969523,predator present
fly,0.139531531,predator present
fly,0.290531576,predator present
fly,0.048437331,predator present
fly,0,predator present
fly,0.046657206,predator present
fly,0.047160023,predator present
fly,0.372805399,predator present
jump,0,predator present
jump,0,predator present
jump,0,predator present
jump,0.04811459,predator present
jump,0,predator present
jump,0,predator present
jump,0.272449869,predator present
jump,0,predator present
jump,0.26718798,predator present
jump,0.435274027,predator present
jump,0,predator present
jump,0,predator present
jump,0,predator present
jump,0.059664299,predator present
jump,0.040271267,predator present
jump,0,predator present
jump,0.059923777,predator present
jump,0.185354665,predator present
jump,0.088958474,predator present
jump,0,predator present
jump,0.104317529,predator present
jump,0,predator present
jump,0,predator present
jump,0,predator present
jump,0.193687717,predator present
jump,0,predator present
jump,0,predator present
jump,0.093314411,predator present
jump,0.047160023,predator present
jump,0.046600675,predator present
pause,0.044443358,predator present
pause,0.175862312,predator present
pause,0.240128517,predator present
pause,0.240572949,predator present
pause,0,predator present
pause,0.226759941,predator present
pause,1.407657658,predator present
pause,0,predator present
pause,0.26718798,predator present
pause,2.350479745,predator present
pause,0,predator present
pause,0.24375744,predator present
pause,0,predator present
pause,0.238657195,predator present
pause,0.241627604,predator present
pause,0.029782779,predator present
pause,0.239695108,predator present
pause,1.112127987,predator present
pause,0.667188556,predator present
pause,0.043046857,predator present
pause,0.730222701,predator present
pause,0.267363793,predator present
pause,0.369292697,predator present
pause,0.232552551,predator present
pause,0.484219293,predator present
pause,0.145311993,predator present
pause,0,predator present
pause,0,predator present
pause,0,predator present
pause,0.1864027,predator present
turn,0.088886716,predator present
turn,0.703449246,predator present
turn,0.14407711,predator present
turn,0.192458359,predator present
turn,0.135205174,predator present
turn,0.317463917,predator present
turn,0.317858181,predator present
turn,0,predator present
turn,0.80156394,predator present
turn,0.696438443,predator present
turn,0.338752295,predator present
turn,0.650019839,predator present
turn,0.11896583,predator present
turn,0.178992896,predator present
turn,0.644340276,predator present
turn,0.148913896,predator present
turn,0.299618885,predator present
turn,0.463386661,predator present
turn,0.489271608,predator present
turn,0.043046857,predator present
turn,0.312952586,predator present
turn,0.534727586,predator present
turn,0,predator present
turn,0.465105102,predator present
turn,1.985299102,predator present
turn,0.096874662,predator present
turn,0.192298909,predator present
turn,0.139971617,predator present
turn,0.518760257,predator present
turn,0.1864027,predator present
retreat,0.044443358,predator present
retreat,0.175862312,predator present
retreat,0,predator present
retreat,0.096229179,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0.136224935,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0.092677332,predator present
retreat,0.088958474,predator present
retreat,0,predator present
retreat,0.104317529,predator present
retreat,0.044560632,predator present
retreat,0,predator present
retreat,0.09302102,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0.047160023,predator present
retreat,0.046600675,predator present
wd,0.094485808,predator absent
wd,0,predator absent
wd,0.096781999,predator absent
wd,0.095435935,predator absent
wd,0.09823247,predator absent
wd,0,predator absent
wd,0.553815481,predator absent
wd,0,predator absent
wd,0,predator absent
wd,0,predator absent
wd,0,predator absent
wd,0.095174193,predator absent
wd,0.09612119,predator absent
wd,0,predator absent
wd,0.093513294,predator absent
wd,0.197127523,predator absent
wd,0,predator absent
wd,0,predator absent
wd,0.196657801,predator absent
wd,0,predator absent
wd,0,predator absent
wd,0.106383356,predator absent
wd,0,predator absent
wd,0,predator absent
wd,0.28025204,predator absent
wd,0,predator absent
wd,0,predator absent
wd,0.096289948,predator absent
wd,0,predator absent
wd,0,predator absent
ab,0.094485808,predator absent
ab,0,predator absent
ab,0,predator absent
ab,0.190871871,predator absent
ab,0,predator absent
ab,0.678058042,predator absent
ab,0.18460516,predator absent
ab,0,predator absent
ab,1.347888388,predator absent
ab,0.098843205,predator absent
ab,0,predator absent
ab,1.142090311,predator absent
ab,0,predator absent
ab,0.09652401,predator absent
ab,1.122159534,predator absent
ab,0,predator absent
ab,0.098523138,predator absent
ab,0,predator absent
ab,0.393315601,predator absent
ab,0.581306163,predator absent
ab,0,predator absent
ab,1.382983628,predator absent
ab,0,predator absent
ab,0.095564836,predator absent
ab,0.093417347,predator absent
ab,0,predator absent
ab,0,predator absent
ab,0,predator absent
ab,0,predator absent
ab,0.19064111,predator absent
fly,0.283457425,predator absent
fly,0,predator absent
fly,0.096781999,predator absent
fly,0,predator absent
fly,0,predator absent
fly,0,predator absent
fly,0.461512901,predator absent
fly,0,predator absent
fly,0.096277742,predator absent
fly,0,predator absent
fly,0,predator absent
fly,0.761393541,predator absent
fly,0.09612119,predator absent
fly,0.09652401,predator absent
fly,0.654593061,predator absent
fly,0.098563762,predator absent
fly,0.098523138,predator absent
fly,0,predator absent
fly,0,predator absent
fly,0,predator absent
fly,0,predator absent
fly,0.106383356,predator absent
fly,0,predator absent
fly,0,predator absent
fly,0.186834693,predator absent
fly,0,predator absent
fly,0,predator absent
fly,0,predator absent
fly,0,predator absent
fly,0,predator absent
jump,0.094485808,predator absent
jump,0,predator absent
jump,0,predator absent
jump,0.095435935,predator absent
jump,0,predator absent
jump,0.096865435,predator absent
jump,0.18460516,predator absent
jump,0,predator absent
jump,0,predator absent
jump,0,predator absent
jump,0,predator absent
jump,0.095174193,predator absent
jump,0,predator absent
jump,0,predator absent
jump,0.187026589,predator absent
jump,0,predator absent
jump,0,predator absent
jump,0,predator absent
jump,0.0983289,predator absent
jump,0,predator absent
jump,0,predator absent
jump,0,predator absent
jump,0,predator absent
jump,0.095564836,predator absent
jump,0.093417347,predator absent
jump,0,predator absent
jump,0,predator absent
jump,0.096289948,predator absent
jump,0,predator absent
jump,0.19064111,predator absent
pause,0.283457425,predator absent
pause,0.093929935,predator absent
pause,0.387127994,predator absent
pause,0,predator absent
pause,0,predator absent
pause,0.096865435,predator absent
pause,1.199933542,predator absent
pause,0,predator absent
pause,0.096277742,predator absent
pause,0,predator absent
pause,0,predator absent
pause,1.046916118,predator absent
pause,0.192242379,predator absent
pause,0.289572029,predator absent
pause,0.654593061,predator absent
pause,0,predator absent
pause,0.492615691,predator absent
pause,0,predator absent
pause,0.0983289,predator absent
pause,0.09688436,predator absent
pause,0.09942664,predator absent
pause,0.212766712,predator absent
pause,0,predator absent
pause,0,predator absent
pause,0.56050408,predator absent
pause,0,predator absent
pause,0,predator absent
pause,0.096289948,predator absent
pause,0.162220693,predator absent
pause,0.095320555,predator absent
turn,0.661400658,predator absent
turn,0,predator absent
turn,0.096781999,predator absent
turn,0,predator absent
turn,0.589394822,predator absent
turn,0,predator absent
turn,0.553815481,predator absent
turn,0.097689799,predator absent
turn,0.096277742,predator absent
turn,0.19768641,predator absent
turn,0.380818792,predator absent
turn,0.190348385,predator absent
turn,0.192242379,predator absent
turn,0.09652401,predator absent
turn,0.561079767,predator absent
turn,0.098563762,predator absent
turn,0,predator absent
turn,0.746486846,predator absent
turn,0.196657801,predator absent
turn,0.09688436,predator absent
turn,0.497133199,predator absent
turn,0.106383356,predator absent
turn,0,predator absent
turn,1.242342868,predator absent
turn,0.84075612,predator absent
turn,0,predator absent
turn,0.195121951,predator absent
turn,0.096289948,predator absent
turn,0.081110347,predator absent
turn,0.857884996,predator absent
retreat,0,predator absent
retreat,0,predator absent
retreat,0,predator absent
retreat,0,predator absent
retreat,0,predator absent
retreat,0,predator absent
retreat,0,predator absent
retreat,0,predator absent
