behav,prop,pred.state
groom,0.80179981,predator present
groom,0.167306055,predator present
groom,0.762198595,predator present
groom,0.683471631,predator present
groom,0.722050794,predator present
groom,0.694378756,predator present
groom,0.390354945,predator present
groom,0.840345893,predator present
groom,0.057784543,predator present
groom,0.280176806,predator present
groom,0.33388962,predator present
groom,0.118973679,predator present
groom,0.795561012,predator present
groom,0.498293716,predator present
groom,0.078670436,predator present
groom,0.462844696,predator present
groom,0.487927286,predator present
groom,0.319705405,predator present
groom,0.148015631,predator present
groom,0.708277621,predator present
groom,0.235225922,predator present
groom,0.603031437,predator present
groom,0.864182093,predator present
groom,0.262515416,predator present
groom,0.078862815,predator present
groom,0.756728904,predator present
groom,0.843950153,predator present
groom,0.418375194,predator present
groom,0.425362013,predator present
groom,0.316156112,predator present
walk,0.187588762,predator present
walk,0.832693945,predator present
walk,0.218142746,predator present
walk,0.257063455,predator present
walk,0.269714403,predator present
walk,0.2924059,predator present
walk,0.531729688,predator present
walk,0.159654107,predator present
walk,0.919445708,predator present
walk,0.554135471,predator present
walk,0.629109676,predator present
walk,0.785788807,predator present
walk,0.201119079,predator present
walk,0.488540533,predator present
walk,0.793325698,predator present
walk,0.207797404,predator present
walk,0.485961758,predator present
walk,0.581983727,predator present
walk,0.75237559,predator present
walk,0.275750406,predator present
walk,0.725836894,predator present
walk,0.37420265,predator present
walk,0.089025671,predator present
walk,0.673744267,predator present
walk,0.712505267,predator present
walk,0.187568858,predator present
walk,0.152030202,predator present
walk,0.532226131,predator present
walk,0.539393715,predator present
walk,0.58731969,predator present
run,0.008582041,predator present
run,0,predator present
run,0.006995529,predator present
run,0.007839498,predator present
run,0,predator present
run,0.012182789,predator present
run,0.002716181,predator present
run,0,predator present
run,0,predator present
run,0.095542503,predator present
run,0,predator present
run,0.016460889,predator present
run,0.001457921,predator present
run,0,predator present
run,0.014112356,predator present
run,0.001344089,predator present
run,0.01222485,predator present
run,0.035016949,predator present
run,0.020076551,predator present
run,0.004356907,predator present
run,0.004705426,predator present
run,0.014010594,predator present
run,0.032141974,predator present
run,0.016065276,predator present
run,0.205604892,predator present
run,0.046472593,predator present
run,0,predator present
run,0.037088549,predator present
run,0.018341672,predator present
run,0.022750744,predator present
stop,0,predator present
stop,0,predator present
stop,0.007953117,predator present
stop,0,predator present
stop,0,predator present
stop,0,predator present
stop,0.064983771,predator present
stop,0,predator present
stop,0,predator present
stop,0.04959396,predator present
stop,0,predator present
stop,0.008300946,predator present
stop,0,predator present
stop,0.007070634,predator present
stop,0.009560352,predator present
stop,0,predator present
stop,0.004552093,predator present
stop,0.020532377,predator present
stop,0.016564696,predator present
stop,0.009040008,predator present
stop,0.023965374,predator present
stop,0.004593808,predator present
stop,0.014650262,predator present
stop,0.020915361,predator present
stop,0.003027027,predator present
stop,0,predator present
stop,0,predator present
stop,0.00527421,predator present
stop,0.007996421,predator present
stop,0.032730784,predator present
occl,0.002029386,predator present
occl,0,predator present
occl,0.004710012,predator present
occl,0.051625416,predator present
occl,0.008234802,predator present
occl,0.001032555,predator present
occl,0.010215415,predator present
occl,0,predator present
occl,0.022769749,predator present
occl,0.02055126,predator present
occl,0.037000705,predator present
occl,0.070475679,predator present
occl,0.001861988,predator present
occl,0.006095117,predator present
occl,0.104331158,predator present
occl,0.328013811,predator present
occl,0.009334013,predator present
occl,0.042761542,predator present
occl,0.062967532,predator present
occl,0.002575059,predator present
occl,0.010266385,predator present
occl,0.004161511,predator present
occl,0,predator present
occl,0.026759679,predator present
occl,0,predator present
occl,0.009229644,predator present
occl,0.004019645,predator present
occl,0.007035916,predator present
occl,0.008906179,predator present
occl,0.04104267,predator present
groom,0.242021541,predator absent
groom,0.329780585,predator absent
groom,0.6752633,predator absent
groom,0.593881181,predator absent
groom,0.484340894,predator absent
groom,0.964974273,predator absent
groom,0.231261571,predator absent
groom,0.794702474,predator absent
groom,0.317990394,predator absent
groom,0.48694626,predator absent
groom,0.387225121,predator absent
groom,0.223470018,predator absent
groom,0.720241912,predator absent
groom,0.510727271,predator absent
groom,0.203787562,predator absent
groom,0.713559456,predator absent
groom,0.47159519,predator absent
groom,0.410269909,predator absent
groom,0.473634221,predator absent
groom,0.530184724,predator absent
groom,0.416315875,predator absent
groom,0.744548648,predator absent
groom,0.966076226,predator absent
groom,0.012091092,predator absent
groom,0.102607448,predator absent
groom,1,predator absent
groom,0.902519026,predator absent
groom,0.223186813,predator absent
groom,0.56770332,predator absent
groom,0.560517016,predator absent
walk,0.754847516,predator absent
walk,0.658361391,predator absent
walk,0.285761463,predator absent
walk,0.406118819,predator absent
walk,0.499161237,predator absent
walk,0.035025727,predator absent
walk,0.689978932,predator absent
walk,0.110403015,predator absent
walk,0.670851202,predator absent
walk,0.450574371,predator absent
walk,0.542198781,predator absent
walk,0.675839988,predator absent
walk,0.26977096,predator absent
walk,0.458047916,predator absent
walk,0.658367003,predator absent
walk,0.282241165,predator absent
walk,0.491173004,predator absent
walk,0.50608615,predator absent
walk,0.489286078,predator absent
walk,0.469815276,predator absent
walk,0.543702227,predator absent
walk,0.247003006,predator absent
walk,0.033923774,predator absent
walk,0.792525565,predator absent
walk,0.712518221,predator absent
walk,0,predator absent
walk,0.088568128,predator absent
walk,0.645471646,predator absent
walk,0.43229668,predator absent
walk,0.394642328,predator absent
run,0,predator absent
run,0,predator absent
run,0,predator absent
run,0,predator absent
run,0,predator absent
run,0,predator absent
run,0,predator absent
run,0,predator absent
run,0,predator absent
run,0.008123721,predator absent
run,0,predator absent
run,0.007201605,predator absent
run,0.009987129,predator absent
run,0,predator absent
run,0.012817084,predator absent
run,0.004199379,predator absent
run,0,predator absent
run,0.01244099,predator absent
run,0,predator absent
run,0,predator absent
run,0,predator absent
run,0.008448346,predator absent
run,0,predator absent
run,0.022373079,predator absent
run,0.181512098,predator absent
run,0,predator absent
run,0.008912846,predator absent
run,0.027297945,predator absent
run,0,predator absent
run,0,predator absent
stop,0,predator absent
stop,0,predator absent
stop,0.004529053,predator absent
stop,0,predator absent
stop,0,predator absent
stop,0,predator absent
stop,0.034055041,predator absent
stop,0,predator absent
stop,0,predator absent
stop,0,predator absent
stop,0,predator absent
stop,0.013357764,predator absent
stop,0,predator absent
