behav,freq,pred.state
wd,0.202891886,predator present
wd,0,predator present
wd,0,predator present
wd,0.318828835,predator present
wd,3.375242596,predator present
wd,1.825213037,predator present
wd,0.925340448,predator present
wd,0.348482311,predator present
wd,0,predator present
wd,0,predator present
wd,0,predator present
wd,0.308790229,predator present
wd,0,predator present
wd,0,predator present
wd,0.282872539,predator present
wd,0,predator present
wd,0,predator present
wd,0,predator present
wd,0,predator present
wd,0,predator present
wd,0,predator present
wd,0,predator present
wd,0,predator present
wd,2.684819026,predator present
wd,0.915820804,predator present
wd,3.173371884,predator present
wd,1.462590193,predator present
wd,0,predator present
wd,0.208472315,predator present
wd,0.75467901,predator present
ab,2.1303648,predator present
ab,6.424307677,predator present
ab,2.440081148,predator present
ab,3.188288354,predator present
ab,2.25016173,predator present
ab,4.334880962,predator present
ab,6.477383137,predator present
ab,14.40393553,predator present
ab,3.056905471,predator present
ab,7.235235597,predator present
ab,0,predator present
ab,2.67618198,predator present
ab,15.5772572,predator present
ab,4.68480075,predator present
ab,3.960215549,predator present
ab,0,predator present
ab,10.00152801,predator present
ab,0,predator present
ab,0,predator present
ab,0.49206948,predator present
ab,16.73173452,predator present
ab,0,predator present
ab,6.741704772,predator present
ab,11.41048086,predator present
ab,0,predator present
ab,0,predator present
ab,0.487530064,predator present
ab,1.039607606,predator present
ab,4.586390927,predator present
ab,0,predator present
fly,2.028918857,predator present
fly,1.070717946,predator present
fly,0.938492749,predator present
fly,0.478243253,predator present
fly,1.125080865,predator present
fly,2.281516296,predator present
fly,9.253404482,predator present
fly,2.207054637,predator present
fly,0.940586299,predator present
fly,7.838171897,predator present
fly,0,predator present
fly,1.441021066,predator present
fly,0,predator present
fly,5.856000937,predator present
fly,0.565745078,predator present
fly,0,predator present
fly,0,predator present
fly,1.747335314,predator present
fly,0,predator present
fly,12.30173701,predator present
fly,5.577244841,predator present
fly,6.152899554,predator present
fly,4.68988158,predator present
fly,4.362830918,predator present
fly,5.494924826,predator present
fly,0,predator present
fly,0.162510021,predator present
fly,2.599019015,predator present
fly,0.521180787,predator present
fly,0,predator present
jump,0.7101216,predator present
jump,1.070717946,predator present
jump,0.3753971,predator present
jump,0,predator present
jump,2.25016173,predator present
jump,0,predator present
jump,2.776021345,predator present
jump,1.161607704,predator present
jump,0.235146575,predator present
jump,2.110277049,predator present
jump,0,predator present
jump,0.205860152,predator present
jump,3.594751663,predator present
jump,0.585600094,predator present
jump,0.660035925,predator present
jump,0,predator present
jump,1.666921335,predator present
jump,1.747335314,predator present
jump,0,predator present
jump,9.841389604,predator present
jump,0,predator present
jump,0,predator present
jump,0.879352796,predator present
jump,1.006807135,predator present
jump,0.915820804,predator present
jump,0,predator present
jump,0,predator present
jump,1.21287554,predator present
jump,0.83388926,predator present
jump,0.75467901,predator present
pause,0.608675657,predator present
pause,0.713811964,predator present
pause,0.093849275,predator present
pause,0.797072089,predator present
pause,1.125080865,predator present
pause,0.684454889,predator present
pause,0.925340448,predator present
pause,0.464643082,predator present
pause,0.235146575,predator present
pause,0.90440445,predator present
pause,0.351886552,predator present
pause,0.205860152,predator present
pause,1.198250554,predator present
pause,3.513600562,predator present
pause,0.565745078,predator present
pause,0,predator present
pause,1.666921335,predator present
pause,1.747335314,predator present
pause,5.581135761,predator present
pause,1.968277921,predator present
pause,0,predator present
pause,12.30579911,predator present
pause,2.051823191,predator present
pause,1.342409513,predator present
pause,1.373731207,predator present
pause,1.057790628,predator present
pause,0.162510021,predator present
pause,0.346535869,predator present
pause,0.312708472,predator present
pause,0.75467901,predator present
turn,1.4202432,predator present
turn,2.141435892,predator present
turn,0,predator present
turn,0.478243253,predator present
turn,2.25016173,predator present
turn,0.456303259,predator present
turn,0,predator present
turn,0.813125393,predator present
turn,0,predator present
turn,0,predator present
turn,2.111319311,predator present
turn,0.102930076,predator present
turn,1.198250554,predator present
turn,2.342400375,predator present
turn,0.565745078,predator present
turn,0,predator present
turn,0,predator present
turn,6.989341255,predator present
turn,5.581135761,predator present
turn,2.460347401,predator present
turn,0,predator present
turn,6.152899554,predator present
turn,0.586235198,predator present
turn,0.335602378,predator present
turn,0,predator present
turn,0,predator present
turn,0.325020043,predator present
turn,0.346535869,predator present
turn,3.022848566,predator present
turn,3.773395049,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0.335602378,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
retreat,0,predator present
wd,0,predator absent 
wd,0,predator absent 
wd,0,predator absent 
wd,0.188710994,predator absent 
wd,0.180301193,predator absent 
wd,0,predator absent 
wd,0.138386756,predator absent 
wd,0,predator absent 
wd,0.191840389,predator absent 
wd,0,predator absent 
wd,0.381820264,predator absent 
wd,0,predator absent 
wd,0,predator absent 
wd,0,predator absent 
wd,0,predator absent 
wd,0,predator absent 
wd,0,predator absent 
wd,0,predator absent 
wd,0.205727805,predator absent 
wd,0,predator absent 
wd,0.560417698,predator absent 
wd,0,predator absent 
wd,0,predator absent 
wd,0.211486539,predator absent 
wd,0.201131364,predator absent 
wd,0.200868421,predator absent 
wd,0,predator absent 
wd,0.569576093,predator absent 
wd,0.184770307,predator absent 
wd,0.187242834,predator absent 
ab,0,predator absent 
ab,0.879978294,predator absent 
ab,0.876260994,predator absent 
ab,0.566132981,predator absent 
ab,3.606023863,predator absent 
ab,1.08624646,predator absent 
ab,1.937414589,predator absent 
ab,1.505084792,predator absent 
ab,3.836807776,predator absent 
ab,0,predator absent 
ab,0.572730397,predator absent 
ab,0,predator absent 
ab,0,predator absent 
ab,4.315692938,predator absent 
ab,0,predator absent 
ab,0,predator absent 
ab,1.072197618,predator absent 
ab,0.210889267,predator absent 
ab,1.440094635,predator absent 
ab,6.597443045,predator absent 
ab,1.681253094,predator absent 
ab,1.39594478,predator absent 
ab,3.479037944,predator absent 
ab,2.749325005,predator absent 
ab,1.206788184,predator absent 
ab,1.406078948,predator absent 
ab,0.200726966,predator absent 
ab,0,predator absent 
ab,7.206041989,predator absent 
ab,0,predator absent 
fly,0,predator absent 
fly,1.173304392,predator absent 
fly,0,predator absent 
fly,0.566132981,predator absent 
fly,0,predator absent 
fly,0,predator absent 
fly,0.276773513,predator absent 
fly,0.13682589,predator absent 
fly,0,predator absent 
fly,0.394209069,predator absent 
fly,0,predator absent 
fly,0,predator absent 
fly,0,predator absent 
fly,0.308263781,predator absent 
fly,0,predator absent 
fly,0,predator absent 
fly,0,predator absent 
fly,0.210889267,predator absent 
fly,0.205727805,predator absent 
fly,1.069855629,predator absent 
fly,0.186805899,predator absent 
fly,0.199420683,predator absent 
fly,1.432545036,predator absent 
fly,0.422973078,predator absent 
fly,0,predator absent 
fly,0.200868421,predator absent 
fly,0,predator absent 
fly,0,predator absent 
fly,0.184770307,predator absent 
fly,0.187242834,predator absent 
jump,0,predator absent 
jump,0.439989147,predator absent 
jump,0,predator absent 
jump,0,predator absent 
jump,0.180301193,predator absent 
jump,0,predator absent 
jump,0.138386756,predator absent 
jump,0.13682589,predator absent 
jump,0.191840389,predator absent 
jump,0,predator absent 
jump,0,predator absent 
jump,0,predator absent 
jump,0,predator absent 
jump,0,predator absent 
jump,0,predator absent 
jump,0.162830869,predator absent 
jump,0,predator absent 
jump,0,predator absent 
jump,0.205727805,predator absent 
jump,0.534927814,predator absent 
jump,0,predator absent 
jump,0,predator absent 
jump,0.204649291,predator absent 
jump,0.211486539,predator absent 
jump,0,predator absent 
jump,0,predator absent 
jump,0,predator absent 
jump,0,predator absent 
jump,0.554310922,predator absent 
jump,0.187242834,predator absent 
pause,0,predator absent 
pause,0.146663049,predator absent 
pause,0,predator absent 
pause,0.188710994,predator absent 
pause,0.360602386,predator absent 
pause,0,predator absent 
pause,0,predator absent 
pause,0.27365178,predator absent 
pause,0,predator absent 
pause,0,predator absent 
pause,0,predator absent 
pause,0,predator absent 
pause,0,predator absent 
pause,0,predator absent 
pause,0,predator absent 
pause,0,predator absent 
pause,0,predator absent 
pause,0.210889267,predator absent 
pause,0,predator absent 
pause,0.713237086,predator absent 
pause,0,predator absent 
pause,0.199420683,predator absent 
pause,0,predator absent 
pause,0.422973078,predator absent 
pause,0.201131364,predator absent 
pause,0.200868421,predator absent 
pause,0,predator absent 
pause,0.759434791,predator absent 
pause,0,predator absent 
pause,0.187242834,predator absent 
turn,0,predator absent 
turn,1.319967441,predator absent 
turn,0.438130497,predator absent 
turn,0.188710994,predator absent 
turn,0.180301193,predator absent 
turn,0.362082153,predator absent 
turn,0.138386756,predator absent 
turn,0.410477671,predator absent 
turn,0,predator absent 
turn,0,predator absent 
turn,0.190910132,predator absent 
turn,0,predator absent 
turn,0,predator absent 
turn,0.616527563,predator absent 
turn,1.585631536,predator absent 
turn,0,predator absent 
turn,0.178699603,predator absent 
turn,0.210889267,predator absent 
turn,0.617183415,predator absent 
turn,0.534927814,predator absent 
turn,0,predator absent 
turn,0.199420683,predator absent 
turn,0.613947872,predator absent 
turn,0.211486539,predator absent 
turn,0.603394092,predator absent 
turn,0,predator absent 
turn,0.200726966,predator absent 
turn,0.949293488,predator absent 
turn,2.217243689,predator absent 
turn,4.493828008,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
retreat,0,predator absent 
