behav,prop,pred.state
groom,0.427455529,present
groom,0.0155662,present
groom,0.40843414,present
groom,0.456543558,present
groom,0,present
groom,0.213075307,present
groom,0.333751329,present
groom,0.086152576,present
groom,0.620070437,present
groom,0.14801009,present
groom,0.024369272,present
groom,0.532022928,present
groom,0,present
groom,0.046066494,present
groom,0.362868766,present
groom,0,present
groom,0.096303865,present
groom,0,present
groom,0,present
groom,0.100279253,present
groom,0,present
groom,0,present
groom,0.333832987,present
groom,0.096903815,present
groom,0,present
groom,0.492683498,present
groom,0.560644237,present
groom,0.197295725,present
groom,0.138666839,present
groom,0,present
walk,0.450130499,present
walk,0.787139434,present
walk,0.161158051,present
walk,0.341188499,present
walk,0.617002762,present
walk,0.552281433,present
walk,0.246429046,present
walk,0.587488751,present
walk,0.250815099,present
walk,0.344011377,present
walk,0.780385983,present
walk,0.242626172,present
walk,0.422569614,present
walk,0.80854674,present
walk,0.363248842,present
walk,1,present
walk,0.903696135,present
walk,0.672184706,present
walk,0,present
walk,0.342473825,present
walk,0,present
walk,1,present
walk,0.348914119,present
walk,0.294454242,present
walk,0.154287362,present
walk,0.507316502,present
walk,0.439355763,present
walk,0.345437392,present
walk,0.689878935,present
walk,0.960638408,present
run,0.106633665,present
run,0.104796212,present
run,0.020207253,present
run,0.033914909,present
run,0.382997238,present
run,0.216413708,present
run,0,present
run,0.228782724,present
run,0.00852007,present
run,0.172982261,present
run,0.195244745,present
run,0.052499158,present
run,0.40016284,present
run,0.011634386,present
run,0.032036939,present
run,0,present
run,0,present
run,0.295332333,present
run,1,present
run,0.034829801,present
run,1,present
run,0,present
run,0.27203176,present
run,0.514592083,present
run,0.111117605,present
run,0,present
run,0,present
run,0.186926858,present
run,0.113132703,present
run,0.039361592,present
stop,0.015780307,present
stop,0.048788266,present
stop,0.278820786,present
stop,0.168353035,present
stop,0,present
stop,0.018229552,present
stop,0.419819625,present
stop,0.046881314,present
stop,0.057421975,present
stop,0.334996272,present
stop,0,present
stop,0.150853603,present
stop,0,present
stop,0,present
stop,0.081655193,present
stop,0,present
stop,0,present
stop,0,present
stop,0,present
stop,0.2630062,present
stop,0,present
stop,0,present
stop,0.045221134,present
stop,0.061301801,present
stop,0.535555919,present
stop,0,present
stop,0,present
stop,0.270340025,present
stop,0.04401786,present
stop,0,present
occl,0,present
occl,0.043709889,present
occl,0.131379769,present
occl,0,present
occl,0,present
occl,0,present
occl,0,present
occl,0.050694636,present
occl,0.063172419,present
occl,0,present
occl,0,present
occl,0.021998138,present
occl,0.177267546,present
occl,0.133752381,present
occl,0.160190261,present
occl,0,present
occl,0,present
occl,0.032482961,present
occl,0,present
occl,0.259410921,present
occl,0,present
occl,0,present
occl,0,present
occl,0.03274806,present
occl,0.199039113,present
occl,0,present
occl,0,present
occl,0,present
occl,0.014303663,present
occl,0,present
groom,0.974659999,absent
groom,0.420278596,absent
groom,0.885459956,absent
groom,0.859087203,absent
groom,0.397471468,absent
groom,0.761006502,absent
groom,0.583652695,absent
groom,0.120092194,absent
groom,0.866750991,absent
groom,0.753109074,absent
groom,0.169523544,absent
groom,1,absent
groom,0.911443241,absent
groom,0.657902302,absent
groom,0.801063536,absent
groom,0.948575941,absent
groom,0.861663127,absent
groom,0.652509345,absent
groom,0.448338576,absent
groom,0.518831253,absent
groom,0.561929428,absent
groom,0.746651125,absent
groom,0.450710691,absent
groom,0.313839311,absent
groom,0.335412333,absent
groom,0.530157801,absent
groom,0.689735343,absent
groom,0.156738583,absent
groom,0.329180817,absent
groom,0,absent
walk,0.020133845,absent
walk,0.550618068,absent
walk,0.114540044,absent
walk,0.081493429,absent
walk,0.476463505,absent
walk,0.224507273,absent
walk,0.380645334,absent
walk,0.806122998,absent
walk,0.068575033,absent
walk,0.056724469,absent
walk,0.585626933,absent
walk,0,absent
walk,0.063517712,absent
walk,0.306259419,absent
walk,0.198936464,absent
walk,0.051424059,absent
walk,0.070507249,absent
walk,0.324153168,absent
walk,0.437527276,absent
walk,0.286575309,absent
walk,0.314196019,absent
walk,0.227477666,absent
walk,0.349478394,absent
walk,0.486300812,absent
walk,0.610166326,absent
walk,0.073149568,absent
walk,0.310264657,absent
walk,0.665065808,absent
walk,0.524643535,absent
walk,0.778817463,absent
run,0.005206156,absent
run,0.00955407,absent
run,0,absent
run,0.011268365,absent
run,0.017798359,absent
run,0.014486225,absent
run,0.035701971,absent
run,0.057108705,absent
run,0.064673976,absent
run,0,absent
run,0.2317398,absent
run,0,absent
run,0.015445103,absent
run,0,absent
run,0,absent
run,0,absent
run,0.067829623,absent
run,0.023337487,absent
run,0.036405113,absent
run,0.115365979,absent
run,0.102192817,absent
run,0,absent
run,0.057198296,absent
run,0.160269702,absent
run,0.054421341,absent
run,0,absent
run,0,absent
run,0.14898977,absent
run,0.139809532,absent
run,0.049147846,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
stop,0,absent
occl,0,absent
occl,0.019549267,absent
occl,0,absent
occl,0.048151002,absent
occl,0.108266668,absent
occl,0,absent
occl,0,absent
occl,0.016676103,absent
occl,0,absent
occl,0.190166457,absent
occl,0.013109722,absent
occl,0,absent
occl,0.009593944,absent
occl,0.035838278,absent
occl,0,absent
occl,0,absent
occl,0,absent
occl,0,absent
occl,0.077729036,absent
occl,0.079227459,absent
occl,0.021681735,absent
occl,0.025871209,absent
occl,0.142612619,absent
occl,0.039590174,absent
occl,0,absent
occl,0.396692631,absent
occl,0,absent
occl,0.029205838,absent
occl,0.006366116,absent
occl,0.172034691,absent
